"","plots","grass.cover","shrub.density","mature.tree.density","sapling.density","snag.density","year","Na","Ca","dist_to_shore"
"1","GRFOR02",0,22.1238938053097,66.3716814159292,442.477876106195,464.601769911504,"2004",943,549,269.9731969
"103","GRFOR02",32,287.610619469027,22.1238938053097,486.725663716814,641.592920353982,"2016",374,456,282.2803008
"2","GRFOR04",0,66.3716814159292,22.1238938053097,619.469026548673,44.2477876106195,"2004",648,594,390.4601764
"99","GRFOR04",35,7.96178343949045,23.8853503184713,95.5414012738854,111.464968152866,"2016",274,330,344.1432585
"3","GRFOR06",0,66.3716814159292,221.238938053097,1084.07079646018,221.238938053097,"2004",816,671,467.3776117
"100","GRFOR06",32,0,63.6942675159236,254.777070063694,214.968152866242,"2016",522,475,297.9294977
"4","GRFOR10",0,44.2477876106195,44.2477876106195,1216.81415929204,508.849557522124,"2004",871,585,225.5963575
"106","GRFOR10",6,22.1238938053097,0,221.238938053097,862.83185840708,"2016",566,432,164.3430078
"5","GRFOR11",0,22.1238938053097,176.991150442478,353.982300884956,464.601769911504,"2004",678,502,128.4793465
"102","GRFOR11",44,110.619469026549,66.3716814159292,154.867256637168,663.716814159292,"2016",656,432,218.1230493
"6","GRFOR12",0,0,176.991150442478,486.725663716814,287.610619469027,"2004",857,734,107.8356807
"105","GRFOR12",10,641.592920353982,176.991150442478,818.58407079646,619.469026548673,"2016",624,501,268.2269022
"7","GRFOR13",0,0,132.743362831858,951.327433628319,199.115044247788,"2004",739,596,162.0428044
"104","GRFOR13",14,685.840707964602,88.4955752212389,862.83185840708,442.477876106195,"2016",503,356,417.0840117
"15","GRMAR01",1,0,0,0,0,"2004",3994,1544,504.3478006
"189","GRMAR01",14,0,0,0,0,"2016",5374,1081,494.2953273
"16","GRMAR02",38,0,0,0,0,"2004",5944,2566,539.9489309
"107","GRMAR02",31,0,0,0,0,"2016",3057,786,463.4081565
"17","GRMAR03",45,0,0,0,0,"2004",2000,1146,486.1280901
"108","GRMAR03",14,0,0,0,22.1238938053097,"2016",3017,884,367.9387765
"18","GRMAR04",12,0,0,0,0,"2004",2600,1100,27.65484451
"110","GRMAR04",1,0,0,0,0,"2016",4317,914,52.2237445
"19","GRMAR05",82,0,0,0,66.3716814159292,"2004",2481,1267,139.4305083
"113","GRMAR05",15,0,0,0,0,"2016",4009,1099,30.28705295
"20","GRMAR06",1,0,0,0,0,"2004",4457,1386,101.2580075
"111","GRMAR06",2,0,0,0,0,"2016",3935,939,83.60605182
"21","GRMAR07",48,0,0,0,0,"2004",2398,1054,146.2373648
"109","GRMAR07",3,0,0,0,0,"2016",4180,995,31.40727243
"8","GRTRA01",0,0,22.1238938053097,221.238938053097,331.858407079646,"2004",1415,994,18.23193301
"101","GRTRA01",49,262.738853503185,0,597.133757961784,804.140127388535,"2016",1120,623,24.15255151
"9","GRTRA03",7,265.486725663717,22.1238938053097,309.734513274336,663.716814159292,"2004",1943,1198,79.1012744
"114","GRTRA03",35,0,0,66.3716814159292,442.477876106195,"2016",2309,979,96.11368137
"10","GRTRA04",16,0,0,0,818.58407079646,"2004",793,1066,37.64983594
"115","GRTRA04",17,0,0,331.858407079646,575.221238938053,"2016",796,488,163.6075655
"11","GRTRA05",0,0,66.3716814159292,66.3716814159292,376.106194690266,"2004",1696,1103,432.6117002
"112","GRTRA05",0,0,0,0,309.734513274336,"2016",891,772,360.3121695
"12","GRTRA06",8,22.1238938053097,0,442.477876106195,685.840707964602,"2004",3195,1581,366.2254855
"116","GRTRA06",16,0,0,154.867256637168,221.238938053097,"2016",1939,824,334.1852316
"13","GRTRA07",32,0,66.3716814159292,88.4955752212389,309.734513274336,"2004",2519,1071,400.5121511
"117","GRTRA07",21,88.4955752212389,22.1238938053097,287.610619469027,309.734513274336,"2016",2075,635,299.0981644
"14","GRTRA10",51,0,22.1238938053097,287.610619469027,486.725663716814,"2004",1992,976,362.7263012
"118","GRTRA10",26,0,0,0,619.469026548673,"2016",1165,628,174.5939908
"22","LSFOR01",65,0,0,0,0,"2004",2218,1225,236.0852573
"180","LSFOR01",56.2,0,0,0,243.362831858407,"2016",3713,1234,236.1036656
"23","LSFOR02",30,22.1238938053097,0,951.327433628319,420.353982300885,"2004",2044,967,301.9636139
"177","LSFOR02",70,0,0,0,376.106194690266,"2016",1800,808,128.7396466
"24","LSFOR03",16,44.2477876106195,22.1238938053097,265.486725663717,309.734513274336,"2004",2105,1131,185.5807621
"178","LSFOR03",67,0,0,0,221.238938053097,"2016",2894,908,217.556011
"25","LSFOR04",47,0,22.1238938053097,508.849557522124,486.725663716814,"2004",2020,1156,423.5132735
"179","LSFOR04",60,0,0,22.1238938053097,287.610619469027,"2016",2191,825,538.870613
"26","LSFOR05",1,176.991150442478,22.1238938053097,176.991150442478,287.610619469027,"2004",2002,1347,532.3720594
"169","LSFOR05",0,0,0,0,110.619469026549,"2016",2644,961,454.6002287
"27","LSFOR06",49.8,44.2477876106195,0,442.477876106195,442.477876106195,"2004",2108,1228,459.4380529
"188","LSFOR06",38,0,0,0,44.2477876106195,"2016",1697,769,479.4361256
"28","LSFOR07",1,199.115044247788,22.1238938053097,707.964601769911,553.097345132743,"2004",1354,1066,500.3514648
"176","LSFOR07",69.6,0,0,0,243.362831858407,"2016",1356,787,994.5874732
"29","LSMAR01",66,0,0,0,0,"2004",9287,2386,988.0252811
"166","LSMAR01",5,0,0,0,0,"2016",6236,1246,1053.479321
"30","LSMAR02",29.8,0,0,0,0,"2004",8003,2338,1065.15404
"167","LSMAR02",24,0,0,0,44.2477876106195,"2016",6753,1378,1023.197855
"31","LSMAR03",32,0,0,0,0,"2004",9851,2435,1010.362116
"192","LSMAR03",8.2,0,0,0,0,"2016",5512,1300,1084.529492
"32","LSMAR04",32,0,0,0,0,"2004",8822,2488,1157.497236
"190","LSMAR04",20.2,0,0,0,0,"2016",5732,1282,1140.354109
"33","LSMAR05",12,0,0,0,0,"2004",9634,2582,906.1089206
"165","LSMAR05",62,0,0,0,0,"2016",4747,1056,898.6088426
"34","LSMAR06",26,0,0,0,0,"2004",11547,2561,902.372793
"193","LSMAR06",1.4,0,0,0,0,"2016",4718,810,975.4820852
"35","LSMAR07",78,0,0,0,0,"2004",7266,2315,975.0631866
"191","LSMAR07",2.6,0,0,0,0,"2016",5475,1147,1008.829337
"36","LSTRA01",34,0,0,0,0,"2004",3046,1707,930.8014891
"173","LSTRA01",26,0,0,0,0,"2016",3901,731,1094.744768
"37","LSTRA02",19,132.743362831858,0,0,88.4955752212389,"2004",2951,1630,1014.97028
"168","LSTRA02",19,0,0,0,0,"2016",5483,1336,1161.160807
"38","LSTRA03",76,22.1238938053097,0,0,0,"2004",5387,1816,1053.837877
"171","LSTRA03",14.6,0,0,0,0,"2016",5676,1194,1094.370878
"39","LSTRA04",82,0,0,0,0,"2004",4533,1282,178.6337749
"194","LSTRA04",0.8,0,0,0,0,"2016",8127,1281,214.2237601
"40","LSTRA05",34,0,0,22.1238938053097,0,"2004",2854,1469,157.6499896
"172","LSTRA05",56,0,0,0,0,"2016",3593,683,142.4853528
"41","LSTRA06",83,0,0,0,22.1238938053097,"2004",5592,2108,237.6068842
"170","LSTRA06",14.2,0,0,0,110.619469026549,"2016",6444,1269,265.8640428
"42","LSTRA07",78,22.1238938053097,0,221.238938053097,199.115044247788,"2004",4719,1673,254.9111273
"195","LSTRA07",25,0,0,0,0,"2016",4459,1080,57.74494136
"46","MAFOR02",0,154.867256637168,22.1238938053097,1216.81415929204,243.362831858407,"2004",615,1341,138.1042966
"123","MAFOR02",0,707.964601769911,0,1238.93805309735,818.58407079646,"2016",578,559,43.40792667
"47","MAFOR04",0,66.3716814159292,66.3716814159292,641.592920353982,22.1238938053097,"2004",324,761,124.4647078
"135","MAFOR04",0,110.619469026549,0,132.743362831858,110.619469026549,"2016",376,376,64.18187161
"48","MAFOR05",0,88.4955752212389,331.858407079646,1194.69026548673,464.601769911504,"2004",330,820,444.6707715
"121","MAFOR05",0,294.585987261146,79.6178343949045,437.898089171975,660.828025477707,"2016",508,486,504.2531347
"49","MAFOR06",0,132.743362831858,132.743362831858,1393.80530973451,44.2477876106195,"2004",453,644,581.4449543
"130","MAFOR06",0,2477.87610619469,0,88.4955752212389,685.840707964602,"2016",617,583,338.1172596
"43","MAFOR10",0,110.619469026549,88.4955752212389,1659.29203539823,132.743362831858,"2004",757,865,151.4305595
"122","MAFOR10",0,597.345132743363,22.1238938053097,1216.81415929204,1371.6814159292,"2016",595,525,148.8145533
"44","MAFOR11",0,44.2477876106195,66.3716814159292,1216.81415929204,154.867256637168,"2004",559,753,530.3522889
"134","MAFOR11",0,663.716814159292,0,309.734513274336,398.230088495575,"2016",566,445,528.2978957
"45","MAFOR12",0,66.3716814159292,132.743362831858,995.575221238938,66.3716814159292,"2004",737,940,474.3892409
"133","MAFOR12",0,353.982300884956,0,353.982300884956,88.4955752212389,"2016",605,436,433.0741213
"52","MAMAR02",58,0,0,0,0,"2004",7425,2281,269.9731969
"136","MAMAR02",76,0,0,0,0,"2016",3569,964,282.2803008
"53","MAMAR03",60,0,0,0,0,"2004",5008,3313,390.4601764
"127","MAMAR03",75,0,0,0,0,"2016",2203,880,344.1432585
