Site,Plot_Name,elev
Swanquarter,SWMAR02,0.614526927
Swanquarter,SWMAR02,0.631867111
Swanquarter,SWMAR02,0.540306091
Swanquarter,SWMAR02,0.618293524
Swanquarter,SWMAR02,0.507884502
Swanquarter,SWMAR02,0.564130604
Swanquarter,SWMAR02,0.631085217
Swanquarter,SWMAR02,0.59289521
Swanquarter,SWMAR03,0.645446301
Swanquarter,SWMAR03,0.694286823
Swanquarter,SWMAR03,0.753639638
Swanquarter,SWMAR03,0.670612872
Swanquarter,SWMAR03,0.649706066
Swanquarter,SWMAR03,0.657162905
Swanquarter,SWMAR03,0.647585332
Swanquarter,SWMAR03,0
Swanquarter,SWMAR04,0.721401453
Swanquarter,SWMAR04,0.533361435
Swanquarter,SWMAR04,0.636960447
Swanquarter,SWMAR04,0.542624116
Swanquarter,SWMAR04,0.4997316
Swanquarter,SWMAR04,0
Swanquarter,SWMAR04,0.629073501
Swanquarter,SWMAR04,0.614754796
Swanquarter,SWMAR05,0.415537953
Swanquarter,SWMAR05,0.266405553
Swanquarter,SWMAR05,0.328582883
Swanquarter,SWMAR05,0.448094815
Swanquarter,SWMAR05,0.341759533
Swanquarter,SWMAR05,0.319554776
Swanquarter,SWMAR05,0.441272825
Swanquarter,SWMAR05,0
Swanquarter,SWMAR06,0.718802691
Swanquarter,SWMAR06,0.690503061
Swanquarter,SWMAR06,0.690028071
Swanquarter,SWMAR06,0.621716738
Swanquarter,SWMAR06,0.460829854
Swanquarter,SWMAR06,0.662759602
Swanquarter,SWMAR06,0.723854482
Swanquarter,SWMAR06,0.709767222
Swanquarter,SWMAR07,0.548159778
Swanquarter,SWMAR07,0.263366669
Swanquarter,SWMAR07,0.541419923
Swanquarter,SWMAR07,0.311457664
Swanquarter,SWMAR07,0.327080101
Swanquarter,SWMAR07,0.320138276
Swanquarter,SWMAR07,0
Swanquarter,SWMAR07,0.305746317
Swanquarter,SWFOR01,0.565018535
Swanquarter,SWFOR01,0.65840745
Swanquarter,SWFOR01,0.682172358
Swanquarter,SWFOR01,0.550064445
Swanquarter,SWFOR01,0
Swanquarter,SWFOR01,0.644105732
Swanquarter,SWFOR01,0.580351591
Swanquarter,SWFOR01,0.579082668
Swanquarter,SWFOR02,0.500910938
Swanquarter,SWFOR02,0.45141837
Swanquarter,SWFOR02,0.509603143
Swanquarter,SWFOR02,0.501851737
Swanquarter,SWFOR02,0.475881159
Swanquarter,SWFOR02,0.540304184
Swanquarter,SWFOR02,0.371036977
Swanquarter,SWFOR02,0.614560127
Swanquarter,SWFOR03,0.533696234
Swanquarter,SWFOR03,0.664501846
Swanquarter,SWFOR03,0.650768697
Swanquarter,SWFOR03,0.605318844
Swanquarter,SWFOR03,0.716713548
Swanquarter,SWFOR03,0
Swanquarter,SWFOR03,0.607881069
Swanquarter,SWFOR03,0.753390729
Swanquarter,SWFOR04,0.493972838
Swanquarter,SWFOR04,0.508246124
Swanquarter,SWFOR04,0.44747144
Swanquarter,SWFOR04,0.400666535
Swanquarter,SWFOR04,0.566781163
Swanquarter,SWFOR04,0.497636884
Swanquarter,SWFOR04,0.637528777
Swanquarter,SWFOR04,0.485007346
Swanquarter,SWFOR05,0.60453546
Swanquarter,SWFOR05,0.624780655
Swanquarter,SWFOR05,0.721506238
Swanquarter,SWFOR05,0.601265311
Swanquarter,SWFOR05,0.634725213
Swanquarter,SWFOR05,0.740990341
Swanquarter,SWFOR05,0.666677535
Swanquarter,SWFOR05,0.679624379
Swanquarter,SWFOR06,0.724197745
Swanquarter,SWFOR06,0.821170628
Swanquarter,SWFOR06,0.491311342
Swanquarter,SWFOR06,0.68945986
Swanquarter,SWFOR06,0.547485232
Swanquarter,SWFOR06,0.792145729
Swanquarter,SWFOR06,0.690328777
Swanquarter,SWFOR06,0.590867102
Swanquarter,SWFOR07,0.703752398
Swanquarter,SWFOR07,0.76217854
Swanquarter,SWFOR07,0.792609036
Swanquarter,SWFOR07,0.400256127
Swanquarter,SWFOR07,0.750887275
Swanquarter,SWFOR07,0.492333263
Swanquarter,SWFOR07,0
Swanquarter,SWFOR07,0.435411304
Swanquarter,SWTRA01,0.655549347
Swanquarter,SWTRA01,0.64655
Swanquarter,SWTRA01,0.665908754
Swanquarter,SWTRA01,0.676505387
Swanquarter,SWTRA01,0.545525789
Swanquarter,SWTRA01,0.526888311
Swanquarter,SWTRA01,0.594357252
Swanquarter,SWTRA01,0.623105884
Swanquarter,SWTRA02,0.96178633
