SampleLocation,Comm,SampleDescription1,SampleDescription2,LabNumber,TEC,pH,SMP Buffer,OrganicMatter,ENR,SolubleSulfur,P,P_ppm,Ca,Ca_ppm,Mg,Mg_ppm,K,K_ppm,Na,Na_ppm,Ca_pct,Mg_pct,K_pct,Na_pct,Other_pct,H_pct,B_ppm,Fe_ppm,Mn_ppm,Cu_ppm,Zn_ppm,Al_ppm
Gull.Rock Forest,GRFOR,4,2,0216-1,24,4.9,5.7,48.55,> 130,82,174,38,1188,594,1146,573,260,130,1296,648,12.38,19.9,1.39,11.74,7.6,47,0.73,164,1,1.9,2.5,1053
Gull.Rock Forest,GRFOR,11,5,0219-1,19.74,5,6.1,52.89,> 130,109,174,38,1004,502,906,453,126,63,1356,678,12.72,19.12,0.82,14.93,7.4,45,0.61,144,< 1,7.5,5.77,1102
Gull.Rock Forest,GRFOR,13,7,0221-1,28.38,4.5,5.6,38.97,> 130,119,179,39,1192,596,930,465,250,125,1478,739,10.5,13.65,1.13,11.32,8.4,55,0.73,182,2,0.95,2.21,1066
Gull.Rock Forest,GRFOR,6,3,0217-1,29.36,4.6,5.8,46.84,> 130,137,151,33,1342,671,1020,510,186,93,1632,816,11.43,14.48,0.81,12.08,8.2,53,0.67,38,1,0.79,2.01,1296
Gull.Rock Forest,GRFOR,12,6,0220-1,41.81,4.3,5.3,39.86,> 130,115,197,43,1468,734,1348,674,352,176,1714,857,8.78,13.43,1.08,8.91,8.8,59,0.78,191,2,1.4,2.38,1121
Gull.Rock Forest,GRFOR,10,4,0218-1,32.94,4.5,5.5,83.16,> 130,204,142,31,1170,585,1172,586,360,180,1742,871,8.88,14.82,1.4,11.5,8.4,55,0.67,83,< 1,1.09,1.96,1228
Gull.Rock Forest,GRFOR,2,1,0215-1,31.83,4.5,5.8,77.98,> 130,102,160,35,1098,549,1074,537,258,129,1886,943,8.62,14.06,1.04,12.88,8.4,55,0.79,238,2,0.5,1.62,692
Gull.Rock Marsh,GRMAR,3,17,0231-1,43.11,5.4,6.3,69.09,> 130,687,224,49,2292,1146,2664,1332,402,201,4000,2000,13.29,25.75,1.2,20.17,6.6,33,2.35,225,1,1.17,1.29,867
Gull.Rock Marsh,GRMAR,7,21,0235-1,48.32,5.2,6.5,68.49,> 130,898,238,52,2108,1054,2346,1173,486,243,4796,2398,10.91,20.23,1.29,21.58,7,39,2.35,333,4,3.61,2.55,604
Gull.Rock Marsh,GRMAR,5,19,0233-1,51.38,5.3,6.3,67.32,> 130,746,252,55,2534,1267,2818,1409,412,206,4962,2481,12.33,22.85,1.03,20.99,6.8,36,2.05,280,3,1.22,1.72,807
Gull.Rock Marsh,GRMAR,4,18,0232-1,53.11,5.2,6.2,63.27,> 130,1167,137,30,2200,1100,2744,1372,344,172,5200,2600,10.36,21.53,0.83,21.28,7,39,2.42,318,3,1.46,2.64,1014
Gull.Rock Marsh,GRMAR,1,15,0229-1,73.9,5.3,6.5,69.62,> 130,666,389,85,3088,1544,3946,1973,582,291,7988,3994,10.45,22.25,1.01,23.5,6.8,36,4.73,114,10,2.6,3.22,649
Gull.Rock Marsh,GRMAR,6,20,0234-1,71.45,5.3,6.4,65.2,> 130,1039,362,79,2772,1386,3332,1666,528,264,8914,4457,9.7,19.43,0.95,27.12,6.8,36,3.41,162,4,1.57,2.4,908
Gull.Rock Marsh,GRMAR,2,16,0230-1,127.48,5,5.9,61.9,> 130,1474,92,20,5132,2566,5034,2517,804,402,11888,5944,10.06,16.45,0.81,20.27,7.4,45,3.53,353,6,3.74,2.78,1057
Gull.Rock Transition,GRTRA,4,10,0224-1,44.11,4.7,5.6,73.68,> 130,126,266,58,2132,1066,2082,1041,494,247,1586,793,12.08,19.67,1.44,7.82,8,51,0.83,281,5,0.81,2.64,678
Gull.Rock Transition,GRTRA,1,8,0222-1,51.87,4.5,5.7,70.24,> 130,176,252,55,1988,994,1806,903,264,132,2830,1415,9.58,14.51,0.65,11.86,8.4,55,0.83,169,3,1.05,3.06,823
Gull.Rock Transition,GRTRA,5,11,0225-1,48.12,5.1,6.1,69.45,> 130,254,325,71,2206,1103,2658,1329,376,188,3392,1696,11.46,23.02,1,15.32,7.2,42,1.3,114,5,1.39,2.17,825
Gull.Rock Transition,GRTRA,3,9,0223-1,56.07,5,5.8,75.84,> 130,241,220,48,2396,1198,2860,1430,262,131,3886,1943,10.68,21.25,0.6,15.07,7.4,45,1.13,83,2,1.67,2.68,994
Gull.Rock Transition,GRTRA,10,14,0228-1,56.13,4.7,5.2,37.06,> 130,288,160,35,1952,976,2166,1083,350,175,3984,1992,8.69,16.08,0.8,15.43,8,51,1.15,93,2,1.29,1.88,1291
Gull.Rock Transition,GRTRA,7,13,0227-1,59.17,4.9,5.7,51.72,> 130,333,156,34,2142,1071,2388,1194,472,236,5038,2519,9.05,16.82,1.02,18.51,7.6,47,1.48,163,3,1.08,1.72,1221
