Sample Location,Sample Description #1,Lab Number,Total Exchange Capacity (meq/100 g),SMP Buffer,pH,Organic Matter (%),Estimated Nitrogen Release (#'s N/acre),S* (ppm),P* (mg/kg),Ca* (mg/kg),Mg* (mg/kg),K* (mg/kg),Na* (mg/kg),Ca** (%),Mg** (%),K** (%),Na** (%),Other Bases** (%),H** (%),B* (mg/kg),Fe* (mg/kg),Mn* (mg/kg),Cu* (mg/kg),Zn* (mg/kg),Al* (mg/kg)
Gull Rock,GRFOR02,0092-1,23.77,5.6,4.5,76.35,> 130,55,8,456,413,52,374,9.59,14.48,0.56,6.84,NA,68.54,0.4,111,2,0.88,1.13,457
Gull Rock,GRFOR04,0093-1,13.14,6.3,5.3,39.17,> 130,23,15,330,291,41,274,12.56,18.46,0.8,9.07,NA,59.1,0.26,51,1,0.46,0.57,842
Gull Rock,GRFOR06,0094-1,26.05,5.5,4.5,74.56,> 130,59,11,475,451,52,522,9.12,14.43,0.51,8.71,NA,67.22,0.48,119,2,0.8,0.92,770
Gull Rock,GRFOR10,0095-1,23.53,5.7,4.8,84.37,> 130,71,8,432,444,54,566,9.18,15.72,0.59,10.46,NA,64.06,0.56,36,1,0.63,0.8,659
Gull Rock,GRFOR11,0096-1,25.35,5.6,4.4,68.34,> 130,99,15,432,467,62,656,8.52,15.35,0.63,11.25,NA,64.27,0.36,95,< 1,0.65,0.89,1050
Gull Rock,GRFOR12,0097-1,23.32,5.8,4.6,43.43,> 130,26,17,501,487,75,624,10.74,17.4,0.82,11.63,NA,59.42,0.42,194,2,0.77,1.07,873
Gull Rock,GRFOR13,0098-1,23.48,5.6,4.5,37.01,> 130,48,16,356,371,52,503,7.58,13.17,0.57,9.31,NA,69.39,0.41,93,< 1,0.85,0.77,956
Gull Rock,GRMAR01,0099-1,45.1,6.8,5.7,60.15,> 130,711,31,1081,1684,241,5374,11.98,31.12,1.37,51.81,NA,3.72,4.28,28,< 1,0.74,0.87,743
Gull Rock,GRMAR02,0100-1,27.42,6.9,5.4,61.04,> 130,576,16,786,1099,228,3057,14.33,33.4,2.13,48.47,NA,1.67,2.35,280,< 1,0.72,0.82,723
Gull Rock,GRMAR03,0101-1,28.53,6.9,5.9,61.54,> 130,399,34,884,1208,184,3017,15.49,35.28,1.65,45.98,NA,1.61,2.45,47,< 1,0.67,1.05,604
Gull Rock,GRMAR04,0102-1,35.71,6.9,6.1,61.1,> 130,344,37,914,1363,215,4317,12.8,31.81,1.54,52.56,NA,1.28,2.53,39,< 1,0.58,0.84,737
Gull Rock,GRMAR05,0103-1,36.89,6.9,6.2,60.83,> 130,279,35,1099,1555,213,4009,14.9,35.13,1.48,47.25,NA,1.24,3.34,18,< 1,0.62,0.84,745
Gull Rock,GRMAR06,0104-1,36.88,6.7,6,51.76,> 130,337,39,939,1399,206,3935,12.73,31.61,1.43,46.39,NA,7.85,2.38,36,< 1,0.79,0.82,1031
Gull Rock,GRMAR07,0105-1,36.36,6.9,6,62.4,> 130,458,33,995,1466,209,4180,13.68,33.6,1.47,49.98,NA,1.26,3.62,56,< 1,0.72,0.92,651
Gull Rock,GRTRA01,0106-1,23.78,6.2,5.5,70.89,> 130,189,17,623,791,86,1120,13.1,27.72,0.93,20.48,NA,37.78,1.12,93,< 1,0.76,0.73,525
Gull Rock,GRTRA03,0107-1,37.23,6.2,5.5,73.25,> 130,332,21,979,1553,145,2309,13.15,34.76,1,26.97,NA,24.13,1.71,57,< 1,0.69,0.86,874
Gull Rock,GRTRA04,0108-1,21.11,6.1,5.4,61.23,> 130,127,16,488,579,71,796,11.56,22.86,0.86,16.39,NA,48.33,0.79,55,< 1,0.84,0.79,670
Gull Rock,GRTRA05,0109-1,29.37,6,5.6,76.46,> 130,84,8,772,1189,119,891,13.14,33.74,1.04,13.19,NA,38.88,1,57,< 1,0.65,0.8,291
Gull Rock,GRTRA06,0110-1,25.04,6.7,6,67.48,> 130,225,18,824,1114,122,1939,16.45,37.07,1.25,33.67,NA,11.56,2.08,23,< 1,0.59,1.09,493
Gull Rock,GRTRA07,0111-1,28.58,6.3,5.3,65.54,> 130,118,23,635,990,145,2075,11.11,28.87,1.3,31.57,NA,27.17,1.17,106,1,0.69,0.76,675
Gull Rock,GRTRA10,0112-1,24.68,6.2,5.1,75.22,> 130,215,16,628,871,89,1165,12.72,29.41,0.92,20.52,NA,36.4,0.97,71,< 1,0.49,0.8,722
Mann's Harbor,MAFOR02,0113-1,24.69,5.8,4.8,88.3,> 130,120,11,559,639,78,578,11.32,21.57,0.81,10.18,NA,56.12,0.73,62,2,0.59,1.58,212
Mann's Harbor,MAFOR04,0114-1,28.31,5.3,4.5,91.81,> 130,28,6,376,542,131,376,6.64,15.95,1.19,5.77,NA,70.46,< 0.20,63,1,0.6,1.05,69
Mann's Harbor,MAFOR05,0115-1,29.77,5.3,4.5,90.77,> 130,46,7,486,587,115,508,8.16,16.43,0.99,7.42,NA,67,0.38,95,2,0.64,3.14,72
Mann's Harbor,MAFOR06,0116-1,33.95,5.1,4.4,87.24,> 130,21,9,583,685,102,617,8.59,16.81,0.77,7.9,NA,65.93,0.27,93,1,0.76,1.07,142
Mann's Harbor,MAFOR10,0117-1,27.74,5.5,4.4,88.64,> 130,75,7,525,582,65,595,9.46,17.48,0.6,9.33,NA,63.12,0.55,66,2,0.59,1.15,223
Mann's Harbor,MAFOR11,0118-1,31.75,5.1,4.2,91.5,> 130,30,5,445,533,95,566,7.01,13.99,0.77,7.75,NA,70.49,0.31,98,1,0.42,0.92,218
Mann's Harbor,MAFOR12,0119-1,32.06,5.1,4.2,88.88,> 130,73,6,436,561,77,605,6.8,14.58,0.62,8.2,NA,69.81,0.53,50,< 1,0.62,0.76,129
Mann's Harbor,MAMAR02,0120-1,36.58,6.5,5.1,50.93,> 130,465,11,964,1247,204,3569,13.18,28.41,1.43,42.42,NA,14.57,2.02,168,2,0.9,2.31,293
Mann's Harbor,MAMAR03,0121-1,26.56,6.6,5.2,62.87,> 130,382,12,880,966,163,2203,16.57,30.31,1.57,36.06,NA,15.48,2.04,138,1,0.79,0.88,282
Mann's Harbor,MAMAR04,0122-1,26.99,7.1,6.2,52.76,> 130,330,12,697,969,201,3430,12.91,29.92,1.91,55.25,NA,0,2.81,58,3,0.67,0.77,274
Mann's Harbor,MAMAR05,0123-1,18.57,7,5.8,51.27,> 130,171,12,850,870,117,1557,22.89,39.04,1.62,36.45,NA,0,1.45,138,2,0.84,1.6,222
Mann's Harbor,MAMAR07,0124-1,22.02,7.2,6,58.67,> 130,238,11,766,849,146,2470,17.39,32.13,1.7,48.77,NA,0,2.61,66,2,0.85,0.97,220
Mann's Harbor,MAMAR10,0125-1,15.4,7.1,5.9,62.64,> 130,160,9,602,699,95,1455,19.55,37.82,1.58,41.08,NA,0,1.95,47,< 1,0.49,0.67,162
Mann's Harbor,MAMAR11,0126-1,31.96,6.7,6,65.49,> 130,270,7,1109,1550,136,2358,17.35,40.42,1.09,32.08,NA,9.06,3.42,41,1,0.44,1.07,188
Mann's Harbor,MATRA01,0127-1,30.39,6.7,6.1,71.88,> 130,134,9,1195,1491,358,1881,19.66,40.89,3.02,26.91,NA,9.52,2.28,121,3,0.54,1.45,148
